date,type,likes,views,duration_s,shortcode,url,caption
2026-04-08,Video,183,1940,159,DW3xC6aj5A-,https://www.instagram.com/p/DW3xC6aj5A-/,One orange and One piece of cake!!
2026-04-07,Video,234,3262,163,DW06IjLDwC8,https://www.instagram.com/p/DW06IjLDwC8/,Car 1 vehicle and Plane 1 vessel
2026-04-06,Video,308,4237,180,DWyj3aGj5CS,https://www.instagram.com/p/DWyj3aGj5CS/,A glass of coffee VS A bottle of beer!!
2026-04-01,Carousel,752,0,0,DWl5lUkD379,https://www.instagram.com/p/DWl5lUkD379/,Thai fruits!!!
2026-03-28,Video,333,4170,133,DWbv4V7jwS0,https://www.instagram.com/p/DWbv4V7jwS0/,Why we use different classifier for human and animals??
2026-03-27,Carousel,342,0,0,DWY9evigcw1,https://www.instagram.com/p/DWY9evigcw1/,School subjects in Thai
2026-03-25,Video,879,10695,164,DWT_cR8jyCO,https://www.instagram.com/p/DWT_cR8jyCO/,"Why Thai say ""water 2 bottles""???"
2026-03-22,Carousel,5330,0,0,DWMITtSDzeQ,https://www.instagram.com/p/DWMITtSDzeQ/,Thai life habits you'll love
2026-03-21,Video,1581,16656,98,DWJfZH8DwXl,https://www.instagram.com/p/DWJfZH8DwXl/,A lot of learners mix these up!!!
2026-03-20,Carousel,1075,0,0,DWHGP_6D5B2,https://www.instagram.com/p/DWHGP_6D5B2/,Thai prepositions of place
2026-03-18,Video,972,10750,139,DWByu6ajxKA,https://www.instagram.com/p/DWByu6ajxKA/,"How to say ""I think...."" 3 ways in Thai!!"
2026-03-17,Video,463,5488,78,DV_KeixDyEa,https://www.instagram.com/p/DV_KeixDyEa/,"How to say ""I know that...."" in Thai?"
2026-03-16,Video,589,7015,93,DV8uz0RD1lc,https://www.instagram.com/p/DV8uz0RD1lc/,"Told someone that... or said that.... in Thai!"
2026-03-15,Video,777,7588,156,DV6F6_QD3va,https://www.instagram.com/p/DV6F6_QD3va/,"อยู่(yùu), one small word but many meanings in Thai!"
2026-03-12,Video,626,6260,134,DVycA68DzLT,https://www.instagram.com/p/DVycA68DzLT/,Make it sound softer with just one word หน่อย(nòi).
2026-03-10,Carousel,1238,0,0,DVtT5u7D7V0,https://www.instagram.com/p/DVtT5u7D7V0/,Family Members in Thai
2026-03-09,Video,648,7290,77,DVqgQkGDxji,https://www.instagram.com/p/DVqgQkGDxji/,เกิดอะไรขึ้น!!!(gèert a-rai khûen)
2026-03-06,Carousel,624,0,0,DVjFoHyjycH,https://www.instagram.com/p/DVjFoHyjycH/,Giving directions in Thai
2026-03-03,Video,1517,12203,176,DVbSwLoj8p7,https://www.instagram.com/p/DVbSwLoj8p7/,"Ever wondered how to say 'is/am/are' in Thai?"
2026-03-01,Video,363,4524,161,DVWECwTD8QU,https://www.instagram.com/p/DVWECwTD8QU/,7 Thai slangs you need to know!!
2026-02-27,Video,541,6302,177,DVQ511rj2kw,https://www.instagram.com/p/DVQ511rj2kw/,"Not 'many'.....just เดียว(diao)"
2026-02-24,Video,816,9157,177,DVJJDRjjy4O,https://www.instagram.com/p/DVJJDRjjy4O/,"เดี๋ยว(dǐieow) doesn't mean just ""wait""!!!"
2026-02-23,Video,1184,12419,168,DVGt9OWjz3N,https://www.instagram.com/p/DVGt9OWjz3N/,Stop using เป็น(bpen) for everything!!
2026-02-21,Video,1818,20859,179,DVBg8Baj53-,https://www.instagram.com/p/DVBg8Baj53-/,"Let's learn how Thai people use the word ""ให้""(hâi) in many ways!!!"
2026-02-20,Carousel,167,0,0,DU-4_zJDxzS,https://www.instagram.com/p/DU-4_zJDxzS/,Diseases in Thai!
2026-02-18,Video,172,2096,257,DU59RuYj_nt,https://www.instagram.com/p/DU59RuYj_nt/,Thai words with ใจ(jai) part 2!!!
